Accession	Control-08	Control-09	Control-10	Control-11	Control-12	Control-18	Control-19	Control-20	Lepto-01	Lepto-02	Lepto-03	Lepto-04	Lepto-05	Lepto-06	Lepto-13	Lepto-14	Lepto-15	Lepto-16	Lepto-17
XP_027432468.1	10.0	9.0	4.0	2.0	15.0	17.0	8.0	36.0	26.0	6.0	27.0	24.0	19.0	6.0	54.0	27.0	13.0	4.0	21.0
XP_027459016.1	12.0	0.0	0.0	0.0	0.0	3.0	12.0	56.0	23.0	8.0	53.9	29.0	32.0	1.0	13.0	32.0	30.0	15.0	5.0
XP_027470067.1	32.6	0.0	0.3	0.0	0.0	0.0	0.2	0.0	99.3	84.5	33.7	7.2	11.3	11.0	15.5	0.8	1.5	4.6	19.8
XP_027478160.1	16.0	8.0	8.0	8.0	9.0	6.0	6.0	2.0	93.0	11.0	27.0	25.0	14.0	3.0	25.0	22.0	20.0	2.0	13.0
XP_027426274.1	2.0	1.0	0.0	2.0	4.0	0.0	2.0	1.0	55.0	5.0	63.0	31.0	45.0	6.0	26.0	31.0	10.0	4.0	25.0
XP_027427175.1	12.0	11.0	4.0	2.0	19.0	11.0	9.0	74.0	46.0	1.0	23.0	12.0	15.0	5.0	35.0	17.0	4.0	3.0	9.0
XP_027466621.1	7.0	6.0	3.0	12.0	20.0	12.0	6.0	16.0	33.0	3.0	41.0	37.0	29.0	3.0	28.0	34.0	8.0	4.0	9.0
XP_027458657.1	23.0	9.0	12.0	0.0	14.0	27.0	42.0	47.0	14.0	10.0	17.0	17.0	9.0	9.0	11.0	16.0	11.0	11.0	7.0
XP_027425134.1 (+1)	19.0	25.0	30.0	35.0	28.0	31.0	16.0	15.0	14.0	1.0	15.0	11.0	9.0	5.0	10.0	14.0	8.0	5.0	11.0
XP_027454801.1	13.0	16.0	13.0	16.0	19.0	9.0	14.0	20.0	23.0	2.0	28.0	24.0	16.0	3.0	24.0	32.0	11.0	8.0	11.0
XP_027445980.1	16.0	1.0	1.0	0.0	0.0	3.0	6.0	54.0	12.0	21.0	23.0	24.0	26.0	14.0	21.0	24.0	16.0	18.0	19.0
XP_027439416.1 (+1)	23.0	12.1	16.1	0.0	0.0	7.0	38.0	24.0	4.0	23.0	8.0	11.0	32.0	26.0	13.0	19.0	12.0	19.0	9.0
XP_027453373.1	21.0	7.0	25.0	28.0	31.0	26.0	22.0	18.0	12.0	5.0	16.2	14.0	6.0	12.0	18.0	12.0	10.0	4.0	8.0
XP_027458998.1	14.0	13.0	8.0	5.0	9.0	14.0	13.0	15.0	23.0	7.0	24.0	26.0	21.0	2.0	23.0	23.0	16.0	16.0	20.0
XP_027425965.1	15.0	33.0	28.0	16.0	20.0	10.0	8.0	20.0	18.0	3.0	13.0	30.0	9.0	2.0	6.0	18.0	18.0	7.0	16.0
XP_027441779.1	18.0	17.0	13.0	22.0	36.0	18.0	27.0	16.0	13.0	4.0	11.0	14.0	6.0	4.0	14.0	20.0	14.0	10.0	12.0
XP_027459613.1	21.0	4.0	0.0	0.0	0.0	2.0	2.0	11.0	17.0	29.0	34.0	21.0	24.0	30.0	17.0	28.0	17.0	8.0	20.0
XP_027453707.1	2.0	9.0	3.0	6.0	10.0	3.0	2.0	5.0	18.0	34.0	4.0	13.0	31.0	37.0	27.0	16.0	19.0	25.0	20.0
XP_027443401.1	14.0	5.0	5.0	1.0	5.0	10.0	26.0	32.0	47.0	2.0	23.0	26.0	25.0	6.0	17.0	15.0	11.0	6.0	7.0
XP_027453317.1	12.0	8.0	21.0	0.0	2.0	7.0	7.0	20.0	14.0	4.0	18.0	26.0	11.0	3.0	14.0	78.0	16.0	9.0	13.0
XP_027481394.1	25.0	24.0	12.0	40.0	62.0	38.0	19.0	17.0	1.0	1.0	9.0	9.0	1.0	1.0	2.0	6.0	4.0	6.0	6.0
XP_027463788.1 (+1)	1.0	5.0	3.0	10.0	4.0	15.0	9.0	9.0	16.0	2.0	47.0	13.5	30.0	2.0	42.0	53.7	6.0	5.0	9.0
XP_027461499.1 (+1)	26.0	23.0	44.0	28.0	38.0	33.0	15.0	11.0	9.0	0.0	8.0	13.0	6.0	0.0	8.0	15.0	0.0	0.0	5.0
XP_027427143.1	3.0	3.0	1.0	2.0	5.7	6.6	6.0	13.0	45.0	7.0	39.0	28.0	44.0	16.0	10.0	28.0	7.0	2.0	7.0
