AverageSpC	FracMissing
1.3684	0.2730
1.3684	0.2732
1.3684	0.2735
1.3684	0.2739
1.3684	0.2738
1.3566	0.2741
1.3161	0.2741
1.3158	0.2745
1.3158	0.2748
1.3158	0.2751
1.3158	0.2751
1.3158	0.2754
1.3158	0.2757
1.3158	0.2760
1.3158	0.2760
1.3158	0.2764
1.3158	0.2763
1.3158	0.2766
1.3158	0.2767
1.3158	0.2766
1.3158	0.2771
1.3158	0.2774
1.3158	0.2776
1.3158	0.2779
1.3158	0.2781
1.3158	0.2784
1.3158	0.2789
1.3158	0.2791
1.3158	0.2793
1.3158	0.2797
1.3070	0.2799
1.3037	0.2797
1.2983	0.2800
1.2895	0.2801
1.2632	0.2803
1.2632	0.2805
1.2632	0.2807
1.2632	0.2810
1.2632	0.2812
1.2632	0.2816
1.2632	0.2820
1.2632	0.2823
1.2632	0.2823
1.2632	0.2826
1.2632	0.2829
1.2632	0.2832
1.2632	0.2833
1.2632	0.2836
1.2632	0.2839
1.2632	0.2839
1.2632	0.2844
1.2632	0.2847
1.2632	0.2850
1.2632	0.2853
1.2625	0.2850
1.2500	0.2853
1.2493	0.2855
1.2331	0.2861
1.2193	0.2862
1.2105	0.2863
1.2105	0.2867
1.2105	0.2869
1.2105	0.2872
1.2105	0.2872
1.2105	0.2876
1.2105	0.2877
1.2105	0.2878
1.2105	0.2882
1.2105	0.2886
1.2105	0.2886
1.2105	0.2888
1.2105	0.2890
1.2105	0.2893
1.2105	0.2896
1.2105	0.2898
1.2105	0.2902
1.2105	0.2905
1.2105	0.2906
1.2105	0.2908
1.2105	0.2910
1.2105	0.2914
1.2105	0.2918
1.1932	0.2920
1.1913	0.2922
1.1842	0.2924
1.1825	0.2924
1.1579	0.2927
1.1579	0.2933
1.1579	0.2934
1.1579	0.2937
1.1579	0.2941
1.1579	0.2943
1.1579	0.2945
1.1579	0.2948
1.1579	0.2951
1.1579	0.2953
1.1579	0.2955
1.1579	0.2956
1.1579	0.2958
1.1579	0.2961
1.1579	0.2964
1.1579	0.2965
1.1579	0.2966
1.1579	0.2969
1.1579	0.2971
1.1579	0.2974
1.1579	0.2976
1.1579	0.2978
1.1579	0.2982
1.1576	0.2984
1.1403	0.2985
1.1228	0.2988
1.1184	0.2987
1.1053	0.2989
1.1053	0.2992
1.1053	0.2995
1.1053	0.2997
1.1053	0.2999
1.1053	0.3001
1.1053	0.3003
1.1053	0.3005
1.1053	0.3006
1.1053	0.3010
1.1053	0.3011
1.1053	0.3014
1.1053	0.3016
1.1053	0.3019
1.1053	0.3022
1.1053	0.3025
1.1053	0.3027
1.1053	0.3030
1.0789	0.3034
1.0729	0.3035
1.0689	0.3037
1.0629	0.3038
1.0526	0.3041
1.0526	0.3042
1.0526	0.3041
1.0526	0.3043
1.0526	0.3046
1.0526	0.3048
1.0526	0.3049
1.0526	0.3052
1.0526	0.3053
1.0526	0.3054
1.0526	0.3058
1.0526	0.3060
1.0526	0.3061
1.0526	0.3065
1.0526	0.3066
1.0526	0.3068
1.0526	0.3069
1.0526	0.3072
1.0526	0.3073
1.0526	0.3075
1.0526	0.3079
1.0526	0.3081
1.0526	0.3084
1.0526	0.3088
1.0526	0.3093
1.0526	0.3095
1.0526	0.3098
1.0526	0.3102
1.0526	0.3105
1.0526	0.3106
1.0526	0.3108
1.0526	0.3110
1.0526	0.3111
1.0526	0.3111
1.0481	0.3114
1.0439	0.3117
1.0431	0.3118
1.0149	0.3120
1.0105	0.3121
1.0000	0.3123
1.0000	0.3125
1.0000	0.3126
1.0000	0.3130
1.0000	0.3133
1.0000	0.3135
1.0000	0.3139
1.0000	0.3140
1.0000	0.3143
1.0000	0.3146
1.0000	0.3148
1.0000	0.3151
1.0000	0.3154
1.0000	0.3156
1.0000	0.3159
1.0000	0.3161
1.0000	0.3164
1.0000	0.3165
1.0000	0.3165
1.0000	0.3166
1.0000	0.3170
1.0000	0.3173
1.0000	0.3177
1.0000	0.3180
1.0000	0.3181
1.0000	0.3184
1.0000	0.3186
1.0000	0.3188
1.0000	0.3191
1.0000	0.3194
1.0000	0.3198
1.0000	0.3201
1.0000	0.3203
1.0000	0.3205
1.0000	0.3205
1.0000	0.3207
0.9967	0.3212
0.9846	0.3213
0.9842	0.3213
0.9699	0.3216
0.9605	0.3218
0.9572	0.3219
0.9474	0.3223
0.9474	0.3227
0.9474	0.3231
0.9474	0.3232
0.9474	0.3233
0.9474	0.3235
0.9474	0.3238
0.9474	0.3240
0.9474	0.3242
0.9474	0.3245
0.9474	0.3247
0.9474	0.3251
0.9474	0.3253
0.9474	0.3254
0.9474	0.3257
0.9474	0.3257
0.9474	0.3259
0.9474	0.3261
0.9474	0.3263
0.9474	0.3266
0.9474	0.3269
0.9474	0.3272
0.9474	0.3275
0.9474	0.3275
0.9474	0.3278
0.9474	0.3279
0.9474	0.3282
0.9474	0.3284
0.9474	0.3287
0.9474	0.3290
0.9474	0.3292
0.9474	0.3295
0.9474	0.3297
0.9474	0.3300
0.9474	0.3303
0.9474	0.3305
0.9474	0.3307
0.9395	0.3306
0.9386	0.3308
0.9385	0.3309
0.9158	0.3312
0.9123	0.3313
0.8947	0.3317
0.8947	0.3319
0.8947	0.3321
0.8947	0.3323
0.8947	0.3325
0.8947	0.3327
0.8947	0.3330
0.8947	0.3332
0.8947	0.3336
0.8947	0.3338
0.8947	0.3340
0.8947	0.3343
0.8947	0.3345
0.8947	0.3347
0.8947	0.3350
0.8947	0.3350
0.8947	0.3352
0.8947	0.3355
0.8947	0.3358
0.8947	0.3360
0.8947	0.3361
0.8947	0.3362
0.8947	0.3365
0.8947	0.3369
0.8947	0.3371
0.8947	0.3374
0.8947	0.3376
0.8947	0.3377
0.8947	0.3380
0.8947	0.3382
0.8947	0.3383
0.8947	0.3385
0.8816	0.3385
0.8772	0.3386
0.8756	0.3389
0.8684	0.3391
0.8684	0.3393
0.8667	0.3394
0.8595	0.3397
0.8557	0.3399
0.8535	0.3399
0.8421	0.3398
0.8421	0.3402
0.8421	0.3405
0.8421	0.3407
0.8421	0.3409
0.8421	0.3410
0.8421	0.3412
0.8421	0.3414
0.8421	0.3416
0.8421	0.3419
0.8421	0.3421
0.8421	0.3424
0.8421	0.3426
0.8421	0.3428
0.8421	0.3431
0.8421	0.3432
0.8421	0.3434
0.8421	0.3437
0.8421	0.3437
0.8421	0.3440
0.8421	0.3441
0.8421	0.3442
0.8421	0.3444
0.8421	0.3446
0.8421	0.3450
0.8421	0.3454
0.8421	0.3457
0.8421	0.3461
0.8421	0.3464
0.8421	0.3466
0.8421	0.3467
0.8421	0.3470
0.8421	0.3472
0.8421	0.3475
0.8421	0.3479
0.8421	0.3481
0.8421	0.3484
0.8421	0.3486
0.8421	0.3489
0.8412	0.3491
0.8193	0.3494
0.8158	0.3497
0.8158	0.3499
0.7895	0.3500
0.7895	0.3502
0.7895	0.3505
0.7895	0.3509
0.7895	0.3509
0.7895	0.3511
0.7895	0.3513
0.7895	0.3515
0.7895	0.3516
0.7895	0.3517
0.7895	0.3519
0.7895	0.3522
0.7895	0.3524
0.7895	0.3525
0.7895	0.3528
0.7895	0.3531
0.7895	0.3533
0.7895	0.3534
0.7895	0.3537
0.7895	0.3538
0.7895	0.3540
0.7895	0.3542
0.7895	0.3544
0.7895	0.3546
0.7895	0.3549
0.7895	0.3550
0.7895	0.3552
0.7895	0.3554
0.7895	0.3557
0.7895	0.3560
0.7895	0.3563
0.7895	0.3565
0.7895	0.3567
0.7895	0.3569
0.7895	0.3571
0.7895	0.3573
0.7895	0.3575
0.7895	0.3577
0.7895	0.3580
0.7868	0.3580
0.7656	0.3583
0.7644	0.3586
0.7632	0.3588
0.7500	0.3588
0.7368	0.3589
0.7368	0.3590
0.7368	0.3593
0.7368	0.3595
0.7368	0.3598
0.7368	0.3600
0.7368	0.3602
0.7368	0.3605
0.7368	0.3607
0.7368	0.3611
0.7368	0.3612
0.7368	0.3614
0.7368	0.3616
0.7368	0.3618
0.7368	0.3620
0.7368	0.3623
